Author,Date,Text,Polairty,Subjectivity
callmebongbong,2019-02-20 05:34:25,"Forget Me Nots - Patrice Rushen
https://t.co/aEjLNy58i7",0.0,0.0
rvcaustyn,2019-02-20 05:34:52,@quicksilva6 ,0.0,0.0
kylianakaleo,2019-02-20 05:34:54,"no one :
every senior atm : senioritis is real , help me",0.2,0.30000000000000004
champagnekaddy,2019-02-20 05:35:00,CHILL OUT,0.0,0.0
PeterBMarko,2019-02-20 05:35:30,Very cool Science from @meganlinnay at @uhmanoa in @UHMBiology.,0.45499999999999996,0.8450000000000001
KathyWithaK_,2019-02-20 05:35:32,"@hi_shannonigans Congratulations, Shannon! Hope you're having the best time, every time! https://t.co/2pk4ypgjkI",1.0,0.3
PualaRidesAgain,2019-02-20 05:35:48,@LokiLoptr He was a good friend to you,0.7,0.6000000000000001
LegiScanHI,2019-02-20 05:36:27,SB108 [NEW] Relating To Capital Improvement Projects For The Benefit Of The Seventeenth Senatorial District. https://t.co/6yBy4UZO9Y,0.13636363636363635,0.45454545454545453
Crisisdragonfly,2019-02-20 05:36:28,@whitemistrose https://t.co/mz1s7RrXzb,0.0,0.0
DefeatMsa,2019-02-20 05:36:31,"#KickMSA - Raising Awareness Aloha Style!
Friends of the MSA Cause! #defeatmsa #KickMSA #DeFeetMSA #aloha #hawaii https://t.co/rqtIk1ppMK",0.0,0.0
fyeahitschacha,2019-02-20 05:36:31,Hahaha i cant with these tweets ,0.2,0.4
callmebongbong,2019-02-20 05:36:37,#Aesthete https://t.co/q1N0MwBCFS,0.0,0.0
Oahu_Raider808,2019-02-20 05:36:56,@AleksEnglish @FreshJo7 @Cianaf Some film review of Carr ... roasted him quite a bit,0.0,0.0
Jankanpo,2019-02-20 05:36:56,@_RKGKNK_ https://t.co/RgvDc9h1xO,0.0,0.0
jrad1014hi,2019-02-20 05:37:17,@SeattleCapture @ProudResister Oh..soo original! ,0.46875,0.75
HunnerRxse,2019-02-20 05:37:19,"I just got home, but take me backkkkk to Hawaii https://t.co/OeVfjGSfKZ",0.0,0.0
Oahu_Raider808,2019-02-20 05:37:23,@iAmAnt__    brrrrrrrah,0.0,0.0
CKMarie23,2019-02-20 05:37:43,"the red bull worked.

#itgavemewings #redbull #oahu #hawaii #haleiwa #northshore #colettemiller #anahulu @ Anahulu's https://t.co/ZDQGFxGGzg",0.0,0.0
DBlakeston,2019-02-20 05:38:04,@4golfonline T.S.  vs ST 190,0.0,0.0
_Nelzz_,2019-02-20 05:38:23,"Especially at the beach, with the 90s R&amp;B playing on low volume, with the sunroof open, the breeze flowing nicely O https://t.co/6gakVhpP4a",0.15,0.7
iamapottymouth,2019-02-20 05:38:36,"Live now! Finishing up Metro 2033 Redux cause I promised!

https://t.co/EFgi2sIJhF",0.2130681818181818,0.5
ROSLYNCEPEDA,2019-02-20 05:38:40,just once please):,0.0,0.0
HunterPurner,2019-02-20 05:38:48,@Coral_Reilly27 @sabrinacolletti I literally got chills as well,0.0,0.0
janners808,2019-02-20 05:38:48,@RealMuckmaker Nunes most definitely,0.25,0.5
PaulWestMusic,2019-02-20 05:39:06,"All this rain led to one helluva sunset. Thanks Maui! -
-
-
#nofilter #sunset #maui #luckywelivehawaii @ Fleetwood' https://t.co/moxLpsQQmJ",0.25,0.2
getheMemo,2019-02-20 05:39:06,Waikiki  https://t.co/sTxmkwIjVj,0.0,0.0
champagnekaddy,2019-02-20 05:39:17,god himself wouldnt be able to get my ass off of him i will fuck that man into oblivion i want him to insert his m https://t.co/ThwAjtagK2,0.04999999999999999,0.6125
hilisting,2019-02-20 05:39:24,Its been 541 days since Game of Thrones last aired a new episode. How have we survived this??? #got #WinterIsComing #winterishere,-0.04090909090909092,0.4053030303030303
champagnekaddy,2019-02-20 05:39:35,@adumbassbitchh let me be ur first ,0.25,0.3333333333333333
janners808,2019-02-20 05:39:36,@4YrsToday @mrscynthia88 Im surprised they have one!,0.125,0.9
heyimcedric,2019-02-20 05:39:41,@jaykaiiii shhh   ifwu lets keep getting lit bro,0.0,0.0
jrad1014hi,2019-02-20 05:39:49,@ProudResister @Linnea63637458 Duh! ,-0.375,0.6
SouthSydeShawty,2019-02-20 05:39:59,I just hope everything turns out okay... ,0.5,0.5
KathyWithaK_,2019-02-20 05:40:01,I'm having Crunchy Cheetos for dinner. It's really tasty and I'd like to create Nacho Cheese Cheetos. Not necessari https://t.co/B3u9YPB6LQ,0.2,0.2
MiliLaff,2019-02-20 05:40:02,@FosterMonster Yesssss Im gonna watch that episode now!  Love you,0.5,0.6
JRNation8988,2019-02-20 05:40:04,"@NickLaBrecque @ThomasSelbe @PlanBSales You do realize HOW MANY NAMES were on Jr's car compared to this one, right? https://t.co/Vh5mzMVEgR",0.39285714285714285,0.5178571428571428
_Nelzz_,2019-02-20 05:40:07,This is @BabeeyMaria and @alohavibezzz ass lmao they annoying af,-0.10000000000000003,0.95
1Marco1k,2019-02-20 05:40:16,@__JUSTinDoIt You see where he from though ,0.0,0.0
champagnekaddy,2019-02-20 05:40:24,@adumbassbitchh cumming https://t.co/l5YVcjgla5,0.0,0.0
allie_herman2,2019-02-20 05:40:32,happy girl :)) https://t.co/XPfHJKlN9z,0.65,1.0
mvchaella,2019-02-20 05:40:44,@uhmaiuh That too sis that too,0.0,0.0
TravisCCarroll,2019-02-20 05:40:54,Can I have one?,0.0,0.0
risssa_5,2019-02-20 05:40:58,I asked my bf why he isnt romantic like this and he said because your lazy ass doesnt leave the house so how am https://t.co/KuAo8JABU8,-0.125,0.75
champagnekaddy,2019-02-20 05:41:10,@Lexgivesnofucks idk if he white/latino whatever. i just want him to brutally fuck me till i pass out. i need him t https://t.co/4H1VqF1XwW,-0.4,0.6
hrk11ms,2019-02-20 05:41:23,@usaob_ren_tn ,0.0,0.0
F1J1_808,2019-02-20 05:41:29,@PLesu07 Fiji tackled the wales guy congratulating ,0.0,0.0
HIKonaCoffee,2019-02-20 05:41:39,@JimNagy_SB @UBFootball Go @vaynersports !!! ,0.0,0.0
rwong719,2019-02-20 05:41:40,Getting showered with sparks #singyunghawaii #liondance #firecracker #cny2019 #chinesenewyear #yearofthepig https://t.co/iM9IgsjLig,0.0,0.0
kinginjude,2019-02-20 05:41:48,last night was just worth it lmao I was down 300 $ then ended up winning 400 $ pipito finesser ,0.24888888888888888,0.4411111111111111
mariaaa_x0,2019-02-20 05:41:50,SERIOUSLY.,-0.3333333333333333,0.6666666666666666
shadeauv,2019-02-20 05:41:52,should I make that call or ,0.0,0.0
gsands,2019-02-20 05:41:53,All of them.,0.0,0.0
janners808,2019-02-20 05:41:53,@Kokomothegreat @politico Lets put trump in orbit around the sun!,0.0,0.0
faasoa_san,2019-02-20 05:41:56,@losa43 Yes sis my pops is on it uncle laka and aunty deda jus talked to him about it and it worked for them and he https://t.co/OQQuDwbEz8,0.0,0.0
nyssabarfield,2019-02-20 05:42:04,@Junishearaec I mean duh I made you look sexier than you already were,-0.30625,0.64375
creatia,2019-02-20 05:42:18,@MSNBC Its obviously an #EmergencyOmlette,0.0,0.5
tohrey_,2019-02-20 05:42:28,Hawaii is cool and all but uhh its time to go home.. https://t.co/sNbDEb8otK,0.35,0.65
WordPerv,2019-02-20 05:42:33,"I've got a new poem in @cerurove. This poem was a hard one to write. It's hard to read. TW: suicide

https://t.co/vyvuCVV8Vy",-0.148989898989899,0.5126262626262625
Hawaii_Skincare,2019-02-20 05:42:35,#hawaiisfinest #bodycontouring #bodysculpting #hawaii #fitness #hilife 808-226-3165 @ Hawaii Medical Skin Care https://t.co/zdF1HEF8mc,0.0,0.0
king_ty_41,2019-02-20 05:42:41,Gee gee gee baby baby ,0.0,0.0
Enagirl808,2019-02-20 05:42:43,Cant wait for zombies 2! @DisneyChannel,0.0,0.0
HSmallbeck,2019-02-20 05:42:45,Thats exactly what Im doin ,0.25,0.25
kendraavila_,2019-02-20 05:42:52,Some things you cant un-do,0.0,0.0
SeanTheGShep,2019-02-20 05:42:52,Lions and hyenas are awesome!!! @pathhyena @nbowa @TamariLion @ClydeHyena,1.0,1.0
stonecoldchach,2019-02-20 05:43:04,#GodsGreatestCreation #GoldenGoddess @WWE_MandyRose  defeated @WWEAsuka #SDLive https://t.co/aI95dK51ee,0.0,0.0
nyssabarfield,2019-02-20 05:43:14,"Twitter do your thing, my babies need a MAN, not no dumb dumb lookin ass boys @jasminejoyam @Junishearaec",-0.09375,0.5
joyceannx,2019-02-20 05:43:15,@hansenitizer_ damn who knew how lucky I was ,0.3333333333333333,0.8333333333333334
Hoggman81,2019-02-20 05:43:41,#pillboxhike #islandviews #needthegym #sunandfun @ Lanikai Pill Box Hike https://t.co/GS5337huyc,0.0,0.0
1Marco1k,2019-02-20 05:43:57,@MAHDTHAGOD Facts!,0.0,0.0
FJPARK1,2019-02-20 05:44:00,Nothing to do with aid or democracy: Roger Waters slams humanitarian concert for Venezuela  RT World News https://t.co/Yi71sQ0hLG #,0.0,0.0
stv_lv,2019-02-20 05:44:09,@VampyBitme Now I have to watch it,0.0,0.0
joyceannx,2019-02-20 05:44:15,yall dont know how much change my body has gone thru in the last year yet he has literally always made me feel lo https://t.co/Tfd0uE2w6R,0.1,0.13333333333333333
AAgbayani,2019-02-20 05:44:20,Home sweet home. #arlinaonthemove2019 @ Daniel K. Inouye International Airport https://t.co/7znJOeOgGm,0.175,0.325
champagnekaddy,2019-02-20 05:44:23,@justregjay LMFAOOOOOOO,0.0,0.0
miami3293,2019-02-20 05:44:28,,0.0,0.0
creatia,2019-02-20 05:44:33,@george_capen He didnt have the balls to obey the Don. So the hearing was a way to show Trump he was still a bulwa https://t.co/SOTrYDF3A2,0.0,0.0
AngryScreed,2019-02-20 05:44:38,@SimonKobster @IsraeliPM Epic fail for Poland that is.,-0.2,0.35
1Marco1k,2019-02-20 05:44:50,About to start boxing fr,0.0,0.0
RichyCraciun,2019-02-20 05:45:00,I can't fuck with a girl that doesn't use Google maps ,-0.4,0.6
champagnekaddy,2019-02-20 05:45:05,horny hours !!! who wanna drain my orgasm box right now,0.2857142857142857,0.5357142857142857
centaur_spencer,2019-02-20 05:45:16,@kaleighg__ Its ok to be ok,0.5,0.5
_njamorabon,2019-02-20 05:45:19,"Me on the phone updating her about my eye check up..
Me: Ma! I have this kano. And this is how much I paid for new https://t.co/gOzwyTZ2Bp",0.16818181818181818,0.32727272727272727
MauiJANderson,2019-02-20 05:45:27,"This incredibly sweet, gentle and happy boy, crossed the rainbow bridge in my arms today.  Im Heartbroken, but als https://t.co/nioMoceTYR",0.45,0.8166666666666668
nokturnal13itc1,2019-02-20 05:46:16,@PopChefs @MiKE_i0S,0.0,0.0
gianacostaaaa,2019-02-20 05:46:54,"Name a person w a bigger heart than me, U CANT",0.0,0.5
_Nelzz_,2019-02-20 05:46:59,"Mannnnnn listennnnnn that juice is EVERYTHING. 11/10, would recommend",0.0,0.0
kelaitakahashi,2019-02-20 05:47:07,heated that i aint going vegas !  #ignorantaf,0.0,0.0
_njamorabon,2019-02-20 05:47:15,Me: Hoy Ma excuse meeeee! I was born with it kano! Nu kuma ngamin inpacheck-up dak idi!  And I need the glasses as https://t.co/gSbMic4jW9,-0.09765625,0.05
callmebongbong,2019-02-20 05:47:20,@RickWrightNow Thank you. My parents introduced me to these songs. I used to listen to them as a child when my parents played them.,0.0,0.0
xmarcmercadox,2019-02-20 05:47:29,"Let the Battle Begin.. #@rthur@w@rds2019 tomorrow.
#MY #ANUS #IS #TIGHT https://t.co/uOZGsZl3Om",-0.17857142857142858,0.2857142857142857
cjcampbell79,2019-02-20 05:47:40,"#dinner (@ L&amp;L Hawaiian Barbecue in Lahaina, HI) https://t.co/QeJrPovOoI",0.0,0.0
hachi07210721,2019-02-20 05:47:47,,0.0,0.0
GDawgSwag99,2019-02-20 05:48:00,@natisuave She was deadass at her house on snap yesterday,0.0,0.0
Hawaii_Skincare,2019-02-20 05:48:04," #hawaii #medical #skincare .
 #hawaiisfinest #fatTransfer #rejuvenation #brazilianbuttlift #hawaiifitness https://t.co/UjpntPJbp3",0.0,0.0
chadwynn23,2019-02-20 05:48:07,Youre wack af,0.0,0.0
cjcampbell79,2019-02-20 05:48:07,"Turtles! (@ Turtle Bay in Haiku, HI) https://t.co/fNd5KVeq9d",0.0,0.0
ejrhernandez,2019-02-20 05:48:14,"Back to the student life for former Washington D.C. sister missionary Gaoyang Yang! Maggie Rees, President and Sist https://t.co/5TuCuSgGTX",0.0,0.0
kerbearstar,2019-02-20 05:48:34,@MoonchildCindy PARTAYYYYYYYYYYYYYY,0.0,0.0
CallMeSlims__,2019-02-20 05:48:46,I love you  @ChickfilA,0.5,0.6
haradas004,2019-02-20 05:48:50,"Chicken stew for the soul, refreshing bubbly B O &amp; clean happy dog #chickenstew #bubly #foodforthesoul https://t.co/q7qwrmDK6u",0.2666666666666667,0.9125
angoopasta,2019-02-20 05:48:58,A sis is going to Vegas in May (then to NC LOL) CHEEHOO,0.8,0.7
CallMeSlims__,2019-02-20 05:49:04,Polynesian sauce is better than Chick-fil-A sauce . PERIOD,0.5,0.5
chadwynn23,2019-02-20 05:49:21,@terrbearr_ https://t.co/jXtXPeB5kS,0.0,0.0
lobaj07,2019-02-20 05:49:22,@_cukskabua Lol did u honk the horn?? I honk while turning towards them hahah,0.8,0.7
alohatommyy,2019-02-20 05:49:57,Only the realest know  #SpeedBoost https://t.co/HDQpwXDU3j,0.0,1.0
UltraRunner14,2019-02-20 05:50:05,@Maui @gohawaii https://t.co/HZY2J2swUB,0.0,0.0
gage_manzano,2019-02-20 05:50:07,Hey,0.0,0.0
JRNation8988,2019-02-20 05:50:37,@NickLaBrecque @ThomasSelbe @PlanBSales @BubbaWallace @ACSupdates You're the one complaining about the name not bei https://t.co/GEcLiGvQXp,0.0,0.0
kerbearstar,2019-02-20 05:51:04,@MoonchildCindy ,0.0,0.0
creatia,2019-02-20 05:51:20,"@UROCKlive1 That does bring up one possible defense; that, no matter how remote (and its not as remote as it shoul https://t.co/tsZ0qAi5YP",-0.06666666666666667,0.4666666666666666
darrinkaneshiro,2019-02-20 05:51:33,@TomiLahren https://t.co/AqF7WTtmPv,0.0,0.0
v086475,2019-02-20 05:51:56,Congratulations @HawaiiHeatFC 09B on their PDC championship!,0.0,0.0
HIKonaCoffee,2019-02-20 05:52:03,@Twitter A,0.0,0.0
TMahoe,2019-02-20 05:52:04,@FortniteGame season 8 gotta have it,0.0,0.0
DrDonYoo,2019-02-20 05:52:13,"Definitely one of the most enthusiastic bartenders Ive ever seen   Cheers!
.
.
.
.
#bar #bartender #moscowmule https://t.co/GTOc6e0ECM",0.4166666666666667,0.6333333333333333
HIKonaCoffee,2019-02-20 05:52:14,@Twitter A,0.0,0.0
HIKonaCoffee,2019-02-20 05:52:19,@Twitter L,0.0,0.0
kamalaniy0,2019-02-20 05:52:24,you probably do,0.0,0.0
jaims_hawaii,2019-02-20 05:52:26,"In 2019, Hawaiis demographic continue to age with a rising median age of 38.8 years and an increasing old age dep https://t.co/aBshKZU7gc",0.1,0.2
CarmichaelDave,2019-02-20 05:52:27,@DeanRishwain Im sorry to hear that Dean! I can tell you Im not going anywhere till July/August,-0.625,1.0
HIKonaCoffee,2019-02-20 05:52:29,@Twitter O,0.0,0.0
lexis_lam,2019-02-20 05:52:36,"So before I was date raped last year I had some snaps of my going out, out fits and twice my mom told me that girl https://t.co/cdOEEkoblD",0.0,0.06666666666666667
HIKonaCoffee,2019-02-20 05:52:42,@Twitter O,0.0,0.0
champagnekaddy,2019-02-20 05:52:44,its not good to lie,-0.35,0.6000000000000001
LavenderPDX,2019-02-20 05:52:45,"Excuse me, car men who peep my Twitter, but can anyone talk to me about suspension? DMs are open ",-0.025,0.275
_Nelzz_,2019-02-20 05:52:55,"I mean I had to get a little specific just in case ""the one"" decides to find me on Twitter tonight ",-0.16666666666666666,0.4375
leeyaowwn,2019-02-20 05:52:58,I want Balenciagas,0.0,0.0
HIKonaCoffee,2019-02-20 05:53:07,@Twitter H,0.0,0.0
aaallleeeccc1,2019-02-20 05:53:13,Hala tangina ang pogi huhuhu https://t.co/jEm1gUEdZ1,0.0,0.0
OldFatTarzan,2019-02-20 05:53:16,@Shitty_car_mods My favorite is the @uhaul trailer hitch.,0.5,1.0
momowanderlust,2019-02-20 05:53:16,Really been thinking about joining the military... hmmmmm any thoughts??,0.05,0.15000000000000002
whyem521,2019-02-20 05:53:17,You like a girl but stay in the friend zone .. then when that same girl continues to treat you like the friend you https://t.co/UOlwxxGd4w,0.0,0.125
bigdasss,2019-02-20 05:53:17,If you outgrow them than you just did. It is simple.,0.0,0.35714285714285715
HIKonaCoffee,2019-02-20 05:53:19,@Twitter A ,0.0,0.0
thekbaldwin,2019-02-20 05:53:45,@AGofTheWorld @ConservisKacee East Central NoDak,0.0,0.25
v086475,2019-02-20 05:53:54,Haha forgot the pic.,0.2,0.3
Vickysecretx3,2019-02-20 05:53:58,Wheres the application hahah,0.0,0.0
v086475,2019-02-20 05:53:58,Haha. Forgot the pic! https://t.co/HcASMleK1X,0.25,0.3
_Nelzz_,2019-02-20 05:54:19,@_roachhh never know when she might decide to bless my presence,0.0,0.0
ZoniOlsen,2019-02-20 05:54:23,Just after takeoff from PHNL headed towards Koko Head. #studentpilot #aviationmeteorologist #SevenEchoMike #oahu https://t.co/295OTYC8I7,0.0,0.0
origamiporygon,2019-02-20 05:54:26,"Tyler is all balls, no shaft",0.0,0.0
JMSNMYS,2019-02-20 05:54:38,"https://t.co/eyQZnoM5Ac

Made something new",0.13636363636363635,0.45454545454545453
sansdeathherb71,2019-02-20 05:54:53,"@desiree77 Unfortunately, she has too many issues. Hope she finds her true love one day.",0.2125,0.6875
diesel_64mark,2019-02-20 05:55:02,@SebGorka https://t.co/3PknRJ2MK2,0.0,0.0
sansdeathherb71,2019-02-20 05:55:03,@vlc411 Same,0.0,0.125
lexis_lam,2019-02-20 05:55:15,judgmental views I experienced before the incident. The only reason I told her was bc I was drunk and we were talki https://t.co/aYx6yqkeP9,0.10000000000000002,0.9666666666666667
keikow14,2019-02-20 05:55:16,,0.0,0.0
torarirure,2019-02-20 05:55:18," (@ Waikiki Christmas Store in Honolulu, HI) https://t.co/GZjrfnleKd https://t.co/n1BtQpZ23H",0.0,0.0
MiliLaff,2019-02-20 05:55:20,@FosterMonster Awww does her shirt say genius? ,0.4,0.9
Xo_loriii,2019-02-20 05:55:22,Honestly! At my old job people called out 5 minutes before their shift because they were sick. That shit was mad https://t.co/H4npQ9Ajln,-0.35982142857142857,0.7142857142857143
LavenderPDX,2019-02-20 05:55:44,"@Aikable_ Ah b!! Im so sorry, of course car women are acceptable! Poor wording choice on my end!",-0.5625,0.8
puredigitalmaui,2019-02-20 05:55:58,14K youtube #subscribers  #mahalonui  @ Hawaiian Islands https://t.co/MqmaOVz2dD,0.0,0.0
LeeRockclc,2019-02-20 05:56:02,#NewDay #BigE calling out #Empire and #JussieSmollettHoax on #SmackDownLIVE @WWE #WWE @allidoisowen @HarrisonHSmith,0.0,0.0
diesel_64mark,2019-02-20 05:56:03,@RealJamesWoods https://t.co/QqCXcND8Zz,0.0,0.0
SimonIshihara,2019-02-20 05:56:13,Pelosi's FURIOUS As Rush Limbaugh BROUGHT OUT This HUGE EVIDENCE! Pelosi... https://t.co/EFhAakdo4C via @YouTube. https://t.co/6c1P233SzG,0.5000000000000001,0.9
TheRealMikeG__,2019-02-20 05:56:21,hell yeah,0.0,0.0
sansdeathherb71,2019-02-20 05:56:21,I'M ADDICTED TO @HappyColorApp,-0.4,0.6
creatia,2019-02-20 05:56:36,"Buy American! Its the State of the Art way to Slaughter Yemeni Children.  Go Ahead. Sell them the WMD. I mean, wha https://t.co/5GeEpIcLhW",-0.15625,0.34375
LegiScanHI,2019-02-20 05:56:41,SB806 [NEW] Relating To Money Transmitters. https://t.co/J1WlVMwtdl,0.13636363636363635,0.45454545454545453
pinzzoy,2019-02-20 05:56:48,Bruh i js hit the biggest pothole WTFFFFFFFFF,0.0,0.0
SpyHI,2019-02-20 05:57:03,@patrickgartside Thanks mang,0.2,0.2
lexis_lam,2019-02-20 05:57:20,BECAUSE I WAS ASKING FOR IT? All of a sudden her view on everything changed. It doesnt make you a good person bc y https://t.co/kNXbjX8SUb,0.35,0.55
jmathiasbennett,2019-02-20 05:57:20,#Sunset in #Maui - Lhain + Stay tuned for a special announcement!  #nofilter #feelthelove #grateful https://t.co/DpP8aOHPY4,0.44642857142857145,0.5714285714285714
mykalgrimes3,2019-02-20 05:57:22,"Lets go! @ 24 Hour Fitness - Kapolei Parkway Super-Sport, HI https://t.co/8bnm4YlNIa",0.0,0.0
F1J1_808,2019-02-20 05:57:26,@xxdejabreanxx @rollcaaaaake Aye great choices gives you a Prize,0.8,0.75
darrinkaneshiro,2019-02-20 05:57:27,@TomiLahren https://t.co/0yc3RhOEwq,0.0,0.0
MiliLaff,2019-02-20 05:57:32,@FosterMonster I kinda wanna make Hazel holding the womens march sign into a gif!!!!,0.0,0.0
JaimyDaily,2019-02-20 05:58:17,Bruh I need a 24hour boba place that has free WiFi and has a vaping section so I finna study there all night lmao,0.5,0.9
MiliLaff,2019-02-20 05:58:20,My babies!  Niece and nephew pics are the best.  Theyre getting so big!  Love you @FosterMonster,0.5,0.3333333333333333
joewp1,2019-02-20 05:58:20,@RealJamesWoods The anti trump cabal is so far off the reservation that they don't recognize their own totally aber https://t.co/hP4n3AtPIe,0.2333333333333333,0.9166666666666666
